,onset,offset,duration,label,start_x,start_y,end_x,end_y,amp,peak_vel,med_vel,avg_vel
0,0.0,0.0041666666666666,0.0041666666666666,GAP,,,,,,,,
1,0.0041666666666666,0.1,0.09583333333333341,FIX,,,,,,,,
2,0.1,0.1083333333333333,0.00833333333333329,SACC,,,,,,,,
3,0.1083333333333333,0.175,0.0666666666666667,FIX,,,,,,,,
4,0.175,0.1875,0.012500000000000011,SACC,,,,,,,,
5,0.1875,0.1916666666666666,0.004166666666666596,FIX,,,,,,,,
6,0.1916666666666666,0.2,0.008333333333333415,SACC,,,,,,,,
7,0.2,0.2041666666666666,0.004166666666666596,FIX,,,,,,,,
8,0.2041666666666666,0.2166666666666666,0.012499999999999983,SACC,,,,,,,,
9,0.2166666666666666,0.2333333333333333,0.01666666666666672,FIX,,,,,,,,
10,0.2333333333333333,0.2541666666666666,0.020833333333333287,GAP,,,,,,,,
11,0.2541666666666666,0.2958333333333333,0.041666666666666685,FIX,,,,,,,,
12,0.2958333333333333,0.3166666666666666,0.020833333333333315,SACC,,,,,,,,
13,0.3166666666666666,0.325,0.008333333333333415,FIX,,,,,,,,
14,0.325,0.3291666666666666,0.004166666666666596,SACC,,,,,,,,
15,0.3291666666666666,0.4,0.07083333333333341,FIX,,,,,,,,
16,0.4,0.4041666666666667,0.004166666666666652,GAP,,,,,,,,
17,0.4041666666666667,0.5875,0.18333333333333335,FIX,,,,,,,,
18,0.5875,0.6333333333333333,0.04583333333333328,SACC,,,,,,,,
19,0.6333333333333333,0.6625,0.029166666666666674,FIX,,,,,,,,
20,0.6625,0.6708333333333333,0.008333333333333304,SACC,,,,,,,,
21,0.6708333333333333,0.675,0.004166666666666763,FIX,,,,,,,,
22,0.675,0.6791666666666667,0.004166666666666652,SACC,,,,,,,,
23,0.6791666666666667,0.8291666666666666,0.1499999999999999,FIX,,,,,,,,
24,0.8291666666666666,0.8375,0.008333333333333415,SACC,,,,,,,,
25,0.8375,0.8541666666666666,0.016666666666666607,FIX,,,,,,,,
26,0.8541666666666666,0.925,0.07083333333333341,SACC,,,,,,,,
27,0.925,1.0041666666666669,0.07916666666666683,FIX,,,,,,,,
28,1.0041666666666669,1.0125,0.008333333333333082,SACC,,,,,,,,
29,1.0125,1.1541666666666666,0.1416666666666666,FIX,,,,,,,,
30,1.1541666666666666,1.1583333333333332,0.004166666666666652,SACC,,,,,,,,
31,1.1583333333333332,1.3041666666666667,0.14583333333333348,FIX,,,,,,,,
32,1.3041666666666667,1.325,0.02083333333333326,GAP,,,,,,,,
33,1.325,1.375,0.050000000000000044,FIX,,,,,,,,
34,1.375,1.3916666666666666,0.016666666666666607,SACC,,,,,,,,
35,1.3916666666666666,1.4083333333333332,0.016666666666666607,FIX,,,,,,,,
36,1.4083333333333332,1.4375,0.029166666666666785,SACC,,,,,,,,
37,1.4375,1.4791666666666667,0.04166666666666674,FIX,,,,,,,,
38,1.4791666666666667,1.4833333333333334,0.004166666666666652,SACC,,,,,,,,
39,1.4833333333333334,1.4875,0.004166666666666652,FIX,,,,,,,,
40,1.4875,1.4916666666666667,0.004166666666666652,SACC,,,,,,,,
41,1.4916666666666667,1.5458333333333334,0.054166666666666696,FIX,,,,,,,,
42,1.5458333333333334,1.55,0.004166666666666652,SACC,,,,,,,,
43,1.55,1.5791666666666666,0.029166666666666563,FIX,,,,,,,,
44,1.5791666666666666,1.5916666666666666,0.012499999999999956,SACC,,,,,,,,
45,1.5916666666666666,1.625,0.03333333333333344,FIX,,,,,,,,
46,1.625,1.6291666666666669,0.004166666666666874,SACC,,,,,,,,
47,1.6291666666666669,1.675,0.04583333333333317,FIX,,,,,,,,
48,1.675,1.6791666666666667,0.004166666666666652,SACC,,,,,,,,
49,1.6791666666666667,1.7208333333333332,0.04166666666666652,FIX,,,,,,,,
50,1.7208333333333332,1.725,0.004166666666666874,SACC,,,,,,,,
51,1.725,1.7333333333333334,0.008333333333333304,FIX,,,,,,,,
52,1.7333333333333334,1.7416666666666667,0.008333333333333304,SACC,,,,,,,,
53,1.7416666666666667,1.7458333333333331,0.00416666666666643,FIX,,,,,,,,
54,1.7458333333333331,1.75,0.004166666666666874,SACC,,,,,,,,
55,1.75,1.7666666666666666,0.016666666666666607,FIX,,,,,,,,
56,1.7666666666666666,1.7708333333333333,0.004166666666666652,SACC,,,,,,,,
57,1.7708333333333333,1.7791666666666666,0.008333333333333304,FIX,,,,,,,,
58,1.7791666666666666,1.7958333333333334,0.01666666666666683,SACC,,,,,,,,
59,1.7958333333333334,1.8041666666666667,0.008333333333333304,FIX,,,,,,,,
60,1.8041666666666667,1.808333333333333,0.004166666666666208,SACC,,,,,,,,
61,1.808333333333333,1.8625,0.05416666666666714,FIX,,,,,,,,
62,1.8625,1.8666666666666667,0.004166666666666652,SACC,,,,,,,,
63,1.8666666666666667,1.870833333333333,0.004166666666666208,FIX,,,,,,,,
64,1.870833333333333,1.875,0.004166666666667096,SACC,,,,,,,,
65,1.875,1.9875,0.11250000000000004,FIX,,,,,,,,
66,1.9875,1.9916666666666667,0.004166666666666652,SACC,,,,,,,,
67,1.9916666666666667,1.995833333333333,0.004166666666666208,FIX,,,,,,,,
68,1.995833333333333,2.0,0.004166666666667096,SACC,,,,,,,,
69,2.0,2.033333333333333,0.033333333333333215,FIX,,,,,,,,
70,2.033333333333333,2.0375,0.004166666666666874,SACC,,,,,,,,
71,2.0375,2.2416666666666667,0.2041666666666666,FIX,,,,,,,,
72,2.2416666666666667,2.279166666666667,0.03750000000000009,SACC,,,,,,,,
