,id,label,start_time,end_time,start_x,start_y,end_x,end_y,amp,peak_vel,med_vel,avg_vel
0,,FIXA,0.0,0.0625,39.80141866207123,168.4722661972046,39.80141866207123,168.4722661972046,0,0.0,0.0,0.0
1,0.0,ISAC,0.0625,0.14166666666666666,39.64208699196613,168.10928749525925,32.993366439331616,119.62812774743156,0,52.9525997719751,11.987627950317693,15.820808496284139
2,906.0,SACC,0.17083333333333334,0.2,29.86045849853901,112.77516148671984,-52.205258894924285,16.93830031381479,0,348.17151709324025,105.46277920171111,112.6205751711046
3,892.0,SACC,0.23333333333333334,0.25833333333333336,-65.53140803983914,-50.31931826600326,15.740833431411,-9.845459461212272,0,439.83956978158494,23.229826715725473,142.29090824127397
4,666.0,SACC,0.2916666666666667,0.31666666666666665,20.250271964715854,-23.13693175793105,-84.94999153225454,-61.83825836371716,0,207.35196421799,108.9563497876926,109.5997017544217
5,,FIXA,0.31666666666666665,0.5791666666666667,-85.18039148229676,-60.35808076931531,-87.32076295151576,-56.32245540618908,0,40.52758332329587,5.394782592556415,7.472357031065524
6,389.0,SACC,0.5791666666666667,0.6375,-87.83177214003044,-56.36336934744482,-294.2933591276266,-83.88913108857348,0,199.70716049143343,85.9227337673326,84.55408574027693
7,0.0,ISAC,0.6583333333333333,0.6708333333333333,-299.05934769542444,-80.48543860063481,-303.1266492009163,-66.2565581639045,0,43.73739220346141,40.37302567311561,29.00527301139027
8,,FIXA,0.6708333333333333,0.825,-301.6338671765484,-64.24641844249469,-325.50872690671946,-72.44245916449496,0,48.53381830828928,9.884862097671292,11.288791199258537
9,990.0,SACC,0.825,0.8416666666666667,-326.7185865558823,-72.55404568717853,-392.11495783925056,-108.80277156829834,0,227.36181328034036,95.24496745089733,105.79055673787639
10,179.0,SACC,0.8458333333333333,0.9291666666666667,-390.0769931614377,-107.51986651003116,-3.1967074703926195,-23.330533504486084,0,261.66290304022823,84.09307663264752,117.01237285316367
11,,FIXA,0.9291666666666667,1.0,-3.114578410690727,-23.330533504486084,-6.70145058631897,-3.941130638122559,0,22.02227250589124,7.3473802108604,8.852490040977509
12,2081.0,SACC,1.0,1.0125,-6.179925327954753,-4.602615740206743,6.734113931655884,-20.98234891891491,0,78.85452293219635,39.94762069443761,41.20000256855608
13,,FIXA,1.0125,1.3083333333333333,6.733585651310325,-20.98311059319403,-2.593181056807099,-35.48584247447123,0,30.17718876334927,6.480282694350475,7.373094259665276
14,681.0,SACC,1.3083333333333333,1.3458333333333334,-3.4944442030678697,-33.8714361190797,-57.14036040152627,-49.98101468772499,0,494.9062869870017,15.52475364338532,76.26810893753243
15,1219.0,SACC,1.3666666666666667,1.3958333333333333,-48.88607246009573,-44.50781032003708,-5.919462857709529,-25.36849798446029,0,103.74141268440052,47.62839001204024,50.33316862776
16,847.0,SACC,1.4,1.4416666666666667,-6.269790589809418,-25.641009092226312,-86.10130965645145,-46.285595220338855,0,99.97178935242611,53.19974473281798,50.915697907537506
17,1.0,ISAC,1.4708333333333334,1.5,-80.29898180699904,-46.871064335589686,-86.62831497712257,-67.25557182078894,0,44.21770217657812,16.87152497015849,20.671319129062706
18,,FIXA,1.5,1.5416666666666667,-86.55605770726349,-67.20163404970134,-88.97515151774638,-52.6821395379842,0,27.393801592884145,5.384278260429204,9.550681038344496
19,0.0,ISAC,1.5416666666666667,1.5583333333333333,-89.22668192970117,-51.8610883233866,-90.29576218626798,-37.42900133903314,0,67.26896359530812,8.529181746824504,22.303432654221208
20,1335.0,SACC,1.575,1.5916666666666666,-90.20951065850473,-38.60474155891672,-123.0036919116974,-70.9716796875,0,131.53098829355227,65.15415640065159,67.06038428188478
21,,FIXA,1.5916666666666666,1.7541666666666667,-123.0036919116974,-70.9716796875,-96.9007051150712,-85.81487947395286,0,54.901140666037165,11.165927858321702,14.988722569838943
22,1116.0,SACC,1.7541666666666667,1.8,-95.36553041978064,-86.7412038648473,-31.05471143780885,-61.711335182190055,0,134.15893230966512,27.066951734462915,46.1810408535019
23,,FIXA,1.8,1.8583333333333334,-29.675755620002747,-60.73357721281998,-38.54963329740453,-39.71316165382587,0,35.164821619294614,8.312008221493157,11.68276997526358
24,0.0,ISAC,1.8583333333333334,1.875,-39.55626419329358,-38.10324369213187,-27.64958482980728,-28.01974243871081,0,87.55975021043429,32.25443840802964,40.7201234467355
25,,FIXA,1.875,1.9833333333333334,-27.900115031761565,-28.93082632587699,-45.5517994761467,-32.97901153564453,0,23.830414104833466,7.87750682932651,8.671195716821147
26,3.0,ISAC,1.9833333333333334,2.0125,-44.66005673204191,-35.02398110827907,-46.83510553347341,-29.251999462285024,0,32.0326850497542,17.435125000038425,16.97822600508174
27,2.0,ISAC,2.0208333333333335,2.0416666666666665,-45.16233414012599,-28.93424034118664,-42.50405755541048,-38.926148414611816,0,35.636587743623494,4.444920295341866,13.598030914014307
28,,FIXA,2.0416666666666665,2.154166666666667,-42.68409195429501,-36.94107943320465,-32.487449645996094,-38.19177093514953,0,25.806382198373537,4.448727861746804,6.4926794368966965
29,1.0,ISAC,2.154166666666667,2.1708333333333334,-34.21068823742687,-37.92997140828219,-34.651701053457224,-32.4347743889312,0,22.416723799527883,8.010672891795934,10.4252172167513
30,0.0,ISAC,2.183333333333333,2.1958333333333333,-35.35249896556407,-28.70786749999885,-37.73323964694401,-23.623895645141715,0,27.969332559635628,6.021759584351611,13.105331054974314
31,,FIXA,2.1958333333333333,2.2375,-37.92817288637161,-23.82237353307282,-41.53137059231055,-19.35664056313338,0,19.089612039629863,6.468619294033585,8.152476414481614
